,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
"DAIHATSU
Altis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UA-ACV30N,,,,2001.9,2WD,SL/SX Package,,,,,,,,,,,,2AZ-FE,,,,2400,,,,4.3,,MJ-101,MJ-120,,,MC-113,,AT,,,8.2,,,MJ-328,,,MJ-321,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-112,,,,,,,,,,,,,,,,,,,,,,,,
,UA-ACV35N,,,,2001.9,4WD,SL/SX Package,,,,,,,,,,,,2AZ-FE,,,,2400,,,,4.3,,MJ-101,MJ-120,,,MC-113,,AT,,,8.35,,,MJ-328,,,MJ-321,,,,,MJ-412,,,MJ-412,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-112,,,,,,,,,,,,,,,,,,,,0.8,,,0.5,
,DBA-ACV40N,,,,2006.1,2WD,G,,,,,,,,,,,,2AZ-FE,,,,2400,,,,4.3,,MJ-102,MJ-M02,,,MC-113,,AT,,,8.0,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,,,,,,,,,,,,,,,,,,,,,,,,
,DBA-ACV45N,,,,2006.1,4WD,G Four,,,,,,,,,,,,2AZ-FE,,,,2400,,,,4.3,,MJ-102,MJ-M02,,,MC-113,,AT,,,8.1,,,MJ-325,,,MJ-331,,,,,MJ-412,,,MJ-412,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,,,,,,,,,,,,,,,,,,,,0.8,,,0.5,
